sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS,tape,weight,chest,ht,len,crosschk
AF-1-hi,"[('2013_Validation_GEO_Allegany_R0012973.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012975.png', 'SIGN')]",missed,0.238920519,0.606858115,1,0.997145849,1,3746.135145,42.48006806,79.49841309,78.89155497,36.41148691,36.41148691,79.18053502,42.76904812,25.43024483,3746.135145,42.48006806,79.49841309,78.89155497,36.41148691,97.14076505,29.99009202,66.11688922,125,121,88,76,81,V-14-Allegheny-1
AF-1-lo,"[('2013_Validation_GEO_Allegany_R0012981.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012983.png', 'SIGN')]",missed,0.196078431,0.498039212,1,0.998960899,1,4717.925459,45.32156833,81.18039162,82.17647005,36.85490172,36.85490172,81.95366303,45.09876131,26.67131045,4717.925459,45.32156833,81.18039162,82.17647005,36.85490172,99.78674073,36.29992825,80.02770826,125,121,88,76,81,V-14-Allegheny-1
AF-2-hi,"[('2013_Validation_GEO_Allegany_R0012988.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012990.png', 'SIGN')]",missed,0.226648293,0.575686662,1,0.994467906,1,4114.43257,38.57100633,80.59613262,75.99063933,37.419633,37.419633,69.64209475,32.22246175,24.946422,4114.43257,38.57100633,80.59613262,75.99063933,37.419633,97.96437012,36.99888709,81.56864999,132,115,90,75,79,V-15-Allegheny-2
AF-2-lo,"[('2013_Validation_GEO_Allegany_R0012994.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012996.png', 'SIGN')]",missed,0.191482525,0.48636561,1,0.997105351,1,4789.728531,37.93651761,80.25032571,74.90030399,36.96378639,36.96378639,79.20811368,42.2443273,25.87465047,4789.728531,37.93651761,80.25032571,74.90030399,36.96378639,98.7063858,42.53470263,93.77304413,132,115,90,75,79,V-15-Allegheny-2
AF-3-hi,"[('2013_Validation_GEO_Allegany_R0013000.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013002.png', 'SIGN')]",missed,0.213463378,0.542196976,1,0.993490484,1,2440.970787,34.1584095,63.43704621,60.72606133,26.56765183,26.56765183,59.77721662,33.20956479,20.40016123,2440.970787,34.1584095,63.43704621,60.72606133,26.56765183,73.77686823,18.03865242,39.76845362,54,38,63,57,58,V-16-Allegheny-3
AF-3-lo,"[('2013_Validation_GEO_Allegany_R0013006.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013008.png', 'SIGN')]",missed,0.204958475,0.520594522,1,0.998285389,1,2364.019724,36.44161653,61.43015358,61.9507481,25.50913157,25.50913157,62.02220225,36.51307068,20.00716202,2364.019724,36.44161653,61.43015358,61.9507481,25.50913157,71.49682678,16.35818957,36.0636642,54,38,63,57,58,V-16-Allegheny-3
AF-4-hi,"[('2013_Validation_GEO_Allegany_R0013012.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013014.png', 'SIGN')]",missed,0.190485312,0.483832688,1,0.987610118,1,1635.838319,29.99762667,50.80243226,49.83476689,19.83714022,19.83714022,41.8383321,22.00119188,15.14836162,1635.838319,29.99762667,50.80243226,49.83476689,19.83714022,54.95509778,8.475018159,18.68423199,32,28,52,50,50,V-17-Allegheny-4
AF-4-lo,"[('2013_Validation_GEO_Allegany_R0013018.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013020.png', 'SIGN')]",missed,0.186262898,0.473107758,1,0.997224491,1,2061.80361,26.49403445,52.51496114,50.14942235,23.6553879,23.6553879,48.18690128,24.53151338,15.7702586,2061.80361,26.49403445,52.51496114,50.14942235,23.6553879,61.92966071,13.70360819,30.21130926,32,28,52,50,50,V-17-Allegheny-4
AF-5-hi,"[('2013_Validation_GEO_Allegany_R0013025.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013027.png', 'SIGN')]",missed,0.244866444,0.621960764,1,0.99516455,1,3997.341829,37.31764583,82.09882083,75.87921319,38.56156736,38.56156736,75.39649738,36.83493002,25.32401439,3997.341829,37.31764583,82.09882083,75.87921319,38.56156736,100.3512371,38.42779209,84.71884886,108,105,84,73,81,V-18-Allegheny-5
AF-5-lo,"[('2013_Validation_GEO_Allegany_R0013032.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013034.png', 'SIGN')]",missed,0.2,0.507999997,1,0.996756757,1,4546.59997,35.05199977,78.23199948,72.64399952,37.59199975,37.59199975,77.39529361,39.80329385,24.32423513,4546.59997,35.05199977,78.23199948,72.64399952,37.59199975,97.25779433,43.29388323,95.44675222,108,105,84,73,81,V-18-Allegheny-5
