sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS
AF-1-hi,"[('2013_Validation_GEO_Allegany_R0012973.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012975.png', 'SIGN')]",missed,0.23892051935391642,0.6068581151536842,1.0,0.9953210643796438,1.0,3808.6415307045218,43.08692617591157,79.49841308513263,80.10527120028631,37.01834502437473,37.01834502437473,77.96287815739527,40.944533133020535,25.800664713958145,3808.6415307045218,43.08692617591157,79.49841308513263,80.10527120028631,37.01834502437473,98.67586974986611,30.739269942592568,67.76854517406076
AF-1-lo,"[('2013_Validation_GEO_Allegany_R0012981.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012983.png', 'SIGN')]",missed,0.19607843137254902,0.49803921239921567,1.0,0.9979495066000257,1.0,4781.6744782448695,44.82352911592941,81.18039162107216,82.17647004587059,37.35294092994118,37.35294092994118,80.3797463049367,43.02680537499553,26.478034076920327,4781.6744782448695,44.82352911592941,81.18039162107216,82.17647004587059,37.35294092994118,100.26546107651488,36.886463903391935,81.32079909564528
AF-2-hi,"[('2013_Validation_GEO_Allegany_R0012988.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012990.png', 'SIGN')]",missed,0.22664829345448265,0.5756866615748539,1.0,0.999255515232959,1.0,4211.147929420056,37.41963300236551,77.71769931260528,77.14201265103043,39.72237964866492,39.72237964866491,74.33759619964434,34.615216550979426,27.23820318765594,4211.147929420056,37.41963300236551,77.71769931260528,77.14201265103043,39.72237964866492,105.18143755933819,39.999774664901736,88.18448002809075
AF-2-lo,"[('2013_Validation_GEO_Allegany_R0012994.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012996.png', 'SIGN')]",missed,0.19148252502094376,0.4863656103431841,1.0,0.9975877922770792,1.0,4702.669086408247,37.93651760676836,78.79122887559582,74.90030399285035,36.96378638608199,36.96378638608199,79.13373986879526,42.16995348271326,26.030835483156334,4702.669086408247,37.93651760676836,78.79122887559582,74.90030399285035,36.96378638608199,98.95172064003303,41.33445814756619,91.12695582718872
AF-3-hi,"[('2013_Validation_GEO_Allegany_R0013000.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013002.png', 'SIGN')]",missed,0.2134633778358137,0.5421969761244667,1.0,0.99553268493362,1.0,2562.4229091642296,34.70060647196587,63.97924318268707,62.352652254313675,27.652045782347802,27.652045782347805,62.217103010282564,34.56505722793476,21.726607400416132,2562.4229091642296,34.70060647196587,63.97924318268707,62.352652254313675,27.652045782347802,77.56380704156473,20.030562526279585,44.159867295454035
AF-3-lo,"[('2013_Validation_GEO_Allegany_R0013006.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013008.png', 'SIGN')]",missed,0.20495847453300414,0.5205945218779067,1.0,0.999159840474342,1.0,2330.1810799255104,34.879832965819745,59.34777549408136,60.90955905971508,26.029726093895334,26.029726093895327,64.3087350555061,38.27900896161078,20.415471446192413,2330.1810799255104,34.879832965819745,59.34777549408136,60.90955905971508,26.029726093895334,72.95594569323319,16.644614081888022,36.69512266946512
AF-4-hi,"[('2013_Validation_GEO_Allegany_R0013012.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013014.png', 'SIGN')]",missed,0.19048531158595022,0.4838326882350178,1.0,0.9849551434924405,1.0,1651.3209649461157,29.997626670571105,51.286264952911885,49.834766888206836,19.837140217635728,19.837140217635728,40.01630009419621,20.179159876560483,14.70684533376442,1651.3209649461157,29.997626670571105,51.286264952911885,49.834766888206836,19.837140217635728,54.261565616995334,8.46083071529407,18.652954009978288
AF-4-lo,"[('2013_Validation_GEO_Allegany_R0013018.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013020.png', 'SIGN')]",missed,0.18626289810386923,0.4731077580613166,1.0,0.9986122453115979,1.0,2024.9012045024351,27.440249967556362,51.56874562868351,51.09563787062219,23.65538790306583,23.65538790306583,49.77487871270101,26.119490809635185,17.741540927299372,2024.9012045024351,27.440249967556362,51.56874562868351,51.09563787062219,23.65538790306583,65.02614374732741,13.89530114107166,30.633920221414087
AF-5-hi,"[('2013_Validation_GEO_Allegany_R0013025.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013027.png', 'SIGN')]",missed,0.2448664440851514,0.6219607638713435,1.0,0.998183043168518,1.0,4062.025748843744,36.07372430453792,78.36705624778928,77.1231347200466,41.04941041550867,41.04941041550867,83.38161490650198,42.33220449099331,28.86286669840453,4062.025748843744,36.07372430453792,78.36705624778928,77.1231347200466,41.04941041550867,109.81794808840176,42.60502031188322,93.92806820200362
AF-5-lo,"[('2013_Validation_GEO_Allegany_R0013032.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013034.png', 'SIGN')]",missed,0.2,0.5079999966472,1.0,0.9968,1.0,4608.067969586751,35.0519997686568,78.2319994836688,73.1519995171968,38.09999974854,38.09999974853999,77.85652122527738,39.75652147673738,25.952173741759125,4608.067969586751,35.0519997686568,78.2319994836688,73.1519995171968,38.09999974854,100.61291884179131,44.07835297040164,97.1762133600276
