image,pose,GCstrokes,PEstrokes
2013_Validation_GEO_Allegany_R0012973.png,R,653,190
2013_Validation_GEO_Allegany_R0012975.png,S,829,254
2013_Validation_GEO_Allegany_R0012981.png,R,232,396
2013_Validation_GEO_Allegany_R0012983.png,S,816,178
2013_Validation_GEO_Allegany_R0012988.png,R,486,201
2013_Validation_GEO_Allegany_R0012990.png,S,1038,293
2013_Validation_GEO_Allegany_R0012994.png,R,301,375
2013_Validation_GEO_Allegany_R0012996.png,S,966,244
2013_Validation_GEO_Allegany_R0013000.png,R,341,207
2013_Validation_GEO_Allegany_R0013002.png,S,637,119
2013_Validation_GEO_Allegany_R0013006.png,R,340,257
2013_Validation_GEO_Allegany_R0013008.png,S,802,262
2013_Validation_GEO_Allegany_R0013012.png,R,419,116
2013_Validation_GEO_Allegany_R0013014.png,S,797,317
2013_Validation_GEO_Allegany_R0013018.png,R,464,101
2013_Validation_GEO_Allegany_R0013020.png,S,722,48
2013_Validation_GEO_Allegany_R0013025.png,R,493,133
2013_Validation_GEO_Allegany_R0013027.png,S,681,103
2013_Validation_GEO_Allegany_R0013032.png,R,421,309
2013_Validation_GEO_Allegany_R0013034.png,S,994,92
2013_Validation_GEO_Allegany_R0013038.png,R,449,166
2013_Validation_GEO_Allegany_R0013040.png,S,722,81
2013_Validation_GEO_Allegany_R0013044.png,R,630,354
2013_Validation_GEO_Allegany_R0013046.png,S,786,204
2013_Validation_GEO_Allegany_R0013051.png,R,277,121
2013_Validation_GEO_Allegany_R0013053.png,S,512,133
2013_Validation_GEO_Allegany_R0013057.png,R,369,198
2013_Validation_GEO_Allegany_R0013059.png,S,466,125
2013_Validation_GEO_Allegany_R0013080.png,R,206,259
2013_Validation_GEO_Allegany_R0013082.png,S,630,231
2013_Validation_GEO_Allegany_R0013086.png,R,765,178
2013_Validation_GEO_Allegany_R0013089.png,S,817,292
2013_Validation_GEO_Allegany_R0013093.png,R,360,159
2013_Validation_GEO_Allegany_R0013095.png,S,712,120
2013_Validation_GEO_Allegany_R0013100.png,R,299,144
2013_Validation_GEO_Allegany_R0013102.png,S,695,91
2013_Validation_GEO_Allegany_R0013106.png,R,406,97
2013_Validation_GEO_Allegany_R0013109.png,S,325,62
2013_Validation_GEO_Allegany_R0013114.png,R,524,109
2013_Validation_GEO_Allegany_R0013118.png,S,335,496
2013_Validation_GEO_Allegany_R0013119.png,R,443,202
